Reporting Month,County,State,Residential Closings,Source
2014-10,Maury,Tennessee,134,Redfin County Market Tracker
2014-10,Montgomery,Tennessee,282,Redfin County Market Tracker
2014-10,Robertson,Tennessee,67,Redfin County Market Tracker
2014-10,Rutherford,Tennessee,525,Redfin County Market Tracker
2014-10,Sumner,Tennessee,280,Redfin County Market Tracker
2014-10,Williamson,Tennessee,402,Redfin County Market Tracker
2014-10,Wilson,Tennessee,249,Redfin County Market Tracker
2014-11,Cheatham,Tennessee,43,Redfin County Market Tracker
2014-11,Davidson,Tennessee,877,Redfin County Market Tracker
2014-11,Dickson,Tennessee,53,Redfin County Market Tracker
2014-11,Maury,Tennessee,105,Redfin County Market Tracker
2014-11,Montgomery,Tennessee,237,Redfin County Market Tracker
2014-11,Robertson,Tennessee,74,Redfin County Market Tracker
2014-11,Rutherford,Tennessee,389,Redfin County Market Tracker
2014-11,Sumner,Tennessee,225,Redfin County Market Tracker
2014-11,Williamson,Tennessee,395,Redfin County Market Tracker
2014-11,Wilson,Tennessee,236,Redfin County Market Tracker
2014-12,Cheatham,Tennessee,39,Redfin County Market Tracker
2014-12,Davidson,Tennessee,1074,Redfin County Market Tracker
2014-12,Dickson,Tennessee,52,Redfin County Market Tracker
2014-12,Maury,Tennessee,116,Redfin County Market Tracker
2014-12,Montgomery,Tennessee,319,Redfin County Market Tracker
2014-12,Robertson,Tennessee,68,Redfin County Market Tracker
2014-12,Rutherford,Tennessee,466,Redfin County Market Tracker
2014-12,Sumner,Tennessee,274,Redfin County Market Tracker
2014-12,Williamson,Tennessee,410,Redfin County Market Tracker
2014-12,Wilson,Tennessee,268,Redfin County Market Tracker
2015-01,Cheatham,Tennessee,21,Redfin County Market Tracker
2015-01,Davidson,Tennessee,764,Redfin County Market Tracker
2015-01,Dickson,Tennessee,41,Redfin County Market Tracker
2015-01,Maury,Tennessee,81,Redfin County Market Tracker
2015-01,Montgomery,Tennessee,193,Redfin County Market Tracker
2015-01,Robertson,Tennessee,54,Redfin County Market Tracker
2015-01,Rutherford,Tennessee,308,Redfin County Market Tracker
2015-01,Sumner,Tennessee,191,Redfin County Market Tracker
2015-01,Williamson,Tennessee,275,Redfin County Market Tracker
2015-01,Wilson,Tennessee,137,Redfin County Market Tracker
2015-02,Cheatham,Tennessee,33,Redfin County Market Tracker
2015-02,Davidson,Tennessee,756,Redfin County Market Tracker
2015-02,Dickson,Tennessee,43,Redfin County Market Tracker
2015-02,Maury,Tennessee,98,Redfin County Market Tracker
2015-02,Montgomery,Tennessee,243,Redfin County Market Tracker
2015-02,Robertson,Tennessee,75,Redfin County Market Tracker
2015-02,Rutherford,Tennessee,384,Redfin County Market Tracker
2015-02,Sumner,Tennessee,176,Redfin County Market Tracker
2015-02,Williamson,Tennessee,275,Redfin County Market Tracker
2015-02,Wilson,Tennessee,158,Redfin County Market Tracker
2015-03,Cheatham,Tennessee,45,Redfin County Market Tracker
2015-03,Davidson,Tennessee,1018,Redfin County Market Tracker
2015-03,Dickson,Tennessee,52,Redfin County Market Tracker
2015-03,Maury,Tennessee,122,Redfin County Market Tracker
2015-03,Montgomery,Tennessee,289,Redfin County Market Tracker
2015-03,Robertson,Tennessee,72,Redfin County Market Tracker
2015-03,Rutherford,Tennessee,469,Redfin County Market Tracker
2015-03,Sumner,Tennessee,283,Redfin County Market Tracker
2015-03,Williamson,Tennessee,441,Redfin County Market Tracker
2015-03,Wilson,Tennessee,224,Redfin County Market Tracker
2015-04,Cheatham,Tennessee,50,Redfin County Market Tracker
2015-04,Davidson,Tennessee,1062,Redfin County Market Tracker
2015-04,Dickson,Tennessee,45,Redfin County Market Tracker
2015-04,Maury,Tennessee,141,Redfin County Market Tracker
2015-04,Montgomery,Tennessee,307,Redfin County Market Tracker
2015-04,Robertson,Tennessee,105,Redfin County Market Tracker
2015-04,Rutherford,Tennessee,474,Redfin County Market Tracker
2015-04,Sumner,Tennessee,295,Redfin County Market Tracker
2015-04,Williamson,Tennessee,422,Redfin County Market Tracker
2015-04,Wilson,Tennessee,229,Redfin County Market Tracker
2015-05,Cheatham,Tennessee,59,Redfin County Market Tracker
2015-05,Davidson,Tennessee,1349,Redfin County Market Tracker
2015-05,Dickson,Tennessee,68,Redfin County Market Tracker
2015-05,Maury,Tennessee,143,Redfin County Market Tracker
2015-05,Montgomery,Tennessee,328,Redfin County Market Tracker
2015-05,Robertson,Tennessee,85,Redfin County Market Tracker
2015-05,Rutherford,Tennessee,594,Redfin County Market Tracker
2015-05,Sumner,Tennessee,332,Redfin County Market Tracker
2015-05,Williamson,Tennessee,554,Redfin County Market Tracker
2015-05,Wilson,Tennessee,273,Redfin County Market Tracker
2015-06,Cheatham,Tennessee,57,Redfin County Market Tracker
2015-06,Davidson,Tennessee,1403,Redfin County Market Tracker
2015-06,Dickson,Tennessee,59,Redfin County Market Tracker
